"Component ","Description ","Line length ","R (per km) propagation mode or sequence data [3]","L (per km) propagation mode or sequence data [3]","C (per km) propagation mode or sequence data [3]","Base power ","Base voltage ","Base frequency ","EMTP (.pun) file for line parameters calculation","Continuously transposed line","Transformation matrix Untransposed line [9]","L-C units in EMTP (.pun) file"
line_1115_to_1145_1,0.0,113931.9831879327000,[0.5321329750667183 0.05321329750667184 0.05321329750667184],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.884079430885647e-009 1.376815886177129e-008 1.376815886177129e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1115_to_1146_1,0.0,99401.31701429955000,[0.3699095044059427 0.03699095044059426 0.03699095044059426],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.048074632083387e-009 1.409614926416677e-008 1.409614926416677e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1117_to_1140_1,0.0,14592.76445293236000,[0.3719852135920951 0.03719852135920951 0.03719852135920951],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.095564241878788e-009 1.419112848375758e-008 1.419112848375758e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1117_to_1144_1,0.0,13346.50650415512000,[0.3989490490949459 0.03989490490949459 0.03989490490949459],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.031791747554777e-009 1.406358349510955e-008 1.406358349510955e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1118_to_1148_1,0.0,36510.3562072423000,[0.4825207789085501 0.04825207789085501 0.04825207789085501],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.24408840119102e-009 1.248817680238204e-008 1.248817680238204e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1118_to_1151_1,0.0,87017.99828388158000,[0.5294190028920064 0.05294190028920064 0.05294190028920064],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[6.681994319387815e-009 1.336398863877563e-008 1.336398863877563e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1118_to_1158_1,0.0,105405.9366346117000,[0.5037673605904636 0.05037673605904636 0.05037673605904636],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.324078464569489e-009 1.464815692913898e-008 1.464815692913898e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1118_to_2191_1,0.0,62629.16859923947000,[0.5369555110245929 0.05369555110245929 0.05369555110245929],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.615202537148708e-009 1.323040507429742e-008 1.323040507429742e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1119_to_1158_1,0.0,106118.8753995799000,[0.472971860599033 0.04729718605990329 0.04729718605990329],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.351498081890659e-009 1.270299616378132e-008 1.270299616378132e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1119_to_1158_2,0.0,99883.60077380678000,[0.4999769647644268 0.04999769647644268 0.04999769647644268],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.124218454298171e-009 1.224843690859634e-008 1.224843690859634e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1121_to_1156_1,0.0,93064.758206345000,[0.2372636416300801 0.02372636416300801 0.02372636416300801],[0.002864788975654116 0.0009549296585513719 0.0009549296585513719],[9.19477722558053e-009 1.838955445116106e-008 1.838955445116106e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1123_to_1152_1,0.0,6037.945200133844000,[0.4028506723296305 0.04028506723296305 0.04028506723296305],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.817690369532901e-009 1.56353807390658e-008 1.56353807390658e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1123_to_1152_2,0.0,6473.304356719073000,[0.4006675744273183 0.04006675744273183 0.04006675744273183],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.944912778790496e-009 1.388982555758099e-008 1.388982555758099e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1123_to_1155_1,0.0,143538.6337850262000,[0.5391320018939455 0.05391320018939454 0.05391320018939454],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[6.496349925921527e-009 1.299269985184305e-008 1.299269985184305e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1124_to_1144_1,0.0,102324.6605623531000,[0.3746924353380636 0.03746924353380637 0.03746924353380637],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.239916986228408e-009 1.447983397245682e-008 1.447983397245682e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1124_to_1147_1,0.0,33829.66886511848000,[0.3571244001559359 0.03571244001559359 0.03571244001559359],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.060888991795391e-009 1.412177798359078e-008 1.412177798359078e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1124_to_1149_1,0.0,5949.873727195124000,[0.384089150130019 0.0384089150130019 0.0384089150130019],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.403897420560753e-009 1.280779484112151e-008 1.280779484112151e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1125_to_1158_1,0.0,55384.85035531441000,[0.4955301106311396 0.04955301106311396 0.04955301106311396],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.766357886162331e-009 1.353271577232466e-008 1.353271577232466e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1126_to_1145_1,0.0,105920.7590999888000,[0.5380534725526293 0.05380534725526293 0.05380534725526293],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.590042765752018e-009 1.318008553150404e-008 1.318008553150404e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1127_to_1244_4,0.0,614.5657992024008000,[2.081784045366486 0.2081784045366487 0.2081784045366487],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.425937748530421e-007 1.885187549706084e-006 1.885187549706084e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1128_to_1246_2,0.0,675.5464463760318000,[2.323578795626478 0.2323578795626478 0.2323578795626478],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[9.700361992377471e-007 1.940072398475494e-006 1.940072398475494e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1129_to_1243_1,0.0,689.1440214272687000,[2.284929998307749 0.2284929998307749 0.2284929998307749],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[9.883860324443673e-007 1.976772064888735e-006 1.976772064888735e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1129_to_1276_1,0.0,112.2900194324827000,[0.8065874386641052 0.08065874386641053 0.08065874386641053],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[3.231670714113123e-007 6.463341428226246e-007 6.463341428226246e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1130_to_1245_3,0.0,559.6949542669202000,[2.35536255099198 0.235536255099198 0.235536255099198],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.058946680478871e-006 2.117893360957742e-006 2.117893360957742e-006],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1130_to_1277_2,0.0,99.47004493125369000,[0.8440634682645719 0.08440634682645719 0.08440634682645719],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[4.045220557553469e-007 8.090441115106939e-007 8.090441115106939e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1131_to_1352_1,0.0,226.3145015975151000,[1.031159008786557 0.1031159008786557 0.1031159008786557],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.018672925077729e-007 6.037345850155458e-007 6.037345850155458e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1132_to_1146_1,0.0,19151.59442795171000,[0.4102421453070926 0.04102421453070926 0.04102421453070926],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[7.786450480542436e-009 1.557290096108487e-008 1.557290096108487e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1132_to_1146_2,0.0,19336.01931287684000,[0.4127397437758571 0.04127397437758571 0.04127397437758571],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[7.985545422103466e-009 1.597109084420693e-008 1.597109084420693e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1132_to_1149_1,0.0,28508.93248504975000,[0.4165101428373427 0.04165101428373427 0.04165101428373427],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.798334133052779e-009 1.559666826610556e-008 1.559666826610556e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1132_to_1153_1,0.0,14101.47978372227000,[0.4117381050926631 0.04117381050926631 0.04117381050926631],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.970036037285146e-009 1.594007207457029e-008 1.594007207457029e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1133_to_1144_1,0.0,13959.07131461195000,[0.3761024951460325 0.03761024951460325 0.03761024951460325],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[7.654215448253976e-009 1.530843089650795e-008 1.530843089650795e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1134_to_1138_1,0.0,17753.00686341394000,[0.3993723281309171 0.03993723281309171 0.03993723281309171],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[7.311352411880793e-009 1.462270482376159e-008 1.462270482376159e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1134_to_1138_2,0.0,19054.8839948764000,[0.3889096500528658 0.03889096500528659 0.03889096500528659],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.445807319266683e-009 1.289161463853337e-008 1.289161463853337e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1136_to_1238_1,0.0,14541.54574953301000,[2.287259610524239 0.228725961052424 0.228725961052424],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.368358284416513e-009 1.073671656883303e-008 1.073671656883303e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1136_to_2139_1,0.0,17556.06266170891000,[1.825164697743487 0.1825164697743487 0.1825164697743487],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.382542618058992e-009 1.076508523611798e-008 1.076508523611798e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1137_to_1408_1,0.0,388.3266186973798000,[1.802516533288223 0.1802516533288223 0.1802516533288223],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.414462780175843E-8 4.828925560351688E-8 4.828925560351688E-8],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1138_to_1144_1,0.0,28422.93829151182000,[0.3569812581660937 0.03569812581660937 0.03569812581660937],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.780085966056505e-009 1.356017193211301e-008 1.356017193211301e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1138_to_1147_1,0.0,54751.88299010794000,[0.3592597172293897 0.03592597172293897 0.03592597172293897],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.44799437732449e-009 1.289598875464898e-008 1.289598875464898e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1138_to_1149_1,0.0,74711.47052168266000,[0.360190312942962 0.0360190312942962 0.0360190312942962],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[6.675662977639231e-009 1.335132595527846e-008 1.335132595527846e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1139_to_1247_1,0.0,48125.62449494361000,[1.827157258855132 0.1827157258855132 0.1827157258855132],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.424211673208936e-009 1.084842334641787e-008 1.084842334641787e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1139_to_1395_1,0.0,30070.48768154093000,[1.978686339715082 0.1978686339715082 0.1978686339715082],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.557662949982877e-009 1.111532589996575e-008 1.111532589996575e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1140_to_1152_1,0.0,111345.1243339166000,[0.4052132640093476 0.04052132640093475 0.04052132640093475],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.016443349081335e-009 1.603288669816267e-008 1.603288669816267e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1141_to_1569_1,0.0,9409.038311278623000,[0.4804192164320975 0.04804192164320974 0.04804192164320974],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[3.817033622033487e-007 7.634067244066975e-007 7.634067244066975e-007],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1144_to_1150_1,0.0,16994.47964835288000,[0.3849804850698802 0.03849804850698801 0.03849804850698801],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.262015191778243e-009 1.452403038355649e-008 1.452403038355649e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1146_to_1153_1,0.0,6967.120020348781000,[0.406625372962799 0.0406625372962799 0.0406625372962799],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.137509949819747e-009 1.427501989963949e-008 1.427501989963949e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1148_to_1158_1,0.0,132576.8288039779000,[0.5013488133588005 0.05013488133588005 0.05013488133588005],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[5.859155795520174e-009 1.171831159104035e-008 1.171831159104035e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1148_to_2191_1,0.0,41169.35658744091000,[0.4623807572835588 0.04623807572835587 0.04623807572835587],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.182002966339934e-009 1.236400593267987e-008 1.236400593267987e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1155_to_1157_1,0.0,98913.75139453909000,[0.517806571182316 0.05178065711823159 0.05178065711823159],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.384237174656395e-009 1.276847434931279e-008 1.276847434931279e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1159_to_1312_1,0.0,75188.83883334814000,[1.965723619773323 0.1965723619773323 0.1965723619773323],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.823100523205147e-009 1.164620104641029e-008 1.164620104641029e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1159_to_1331_1,0.0,88071.96462409934000,[1.823298590936553 0.1823298590936554 0.1823298590936554],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.519297506353635e-009 1.103859501270727e-008 1.103859501270727e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1159_to_1335_1,0.0,151129.8782026381000,[1.690181297886747 0.1690181297886747 0.1690181297886747],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.102307129018856e-009 1.020461425803771e-008 1.020461425803771e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1159_to_1637_1,0.0,86604.99121476246000,[1.642067188406543 0.1642067188406543 0.1642067188406543],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.260114959352494e-009 1.052022991870499e-008 1.052022991870499e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
