"Component ","Description ","Primary winding connection","Primary resistance [3]","Primary leakage inductance [3]","Primary winding voltage [3]","Secondary winding connection","Secondary resistance [3]","Secondary leakage inductance [3]","Secondary winding voltage [3]","Magnetization resistance [3]","Magnetization inductance [3]","Primary neutral resistance [4]","Primary neutral inductance [4]","Primary neutral capacitance [4]","Secondary neutral resistance [4]","Secondary neutral inductance [4]","Secondary neutral capacitance [4]","Base primary winding voltage","Base secondary winding voltage","Base power ","Base frequency "
xf_1106_to_1168_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02489463359306783 0.02489463359306783 0.02489463359306783],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1107_to_1409_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[203862.3800508569000 203862.3800508569000 203862.3800508569000],Yg,[0 0 0],[0.02356445498777685 0.02356445498777685 0.02356445498777685],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1107_to_1410_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[203862.3800508569000 203862.3800508569000 203862.3800508569000],Yg,[0 0 0],[0.02292850079502133 0.02292850079502133 0.02292850079502133],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1107_to_1412_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[201957.1241625311000 201957.1241625311000 201957.1241625311000],Yg,[0.07689361023732212 0.07689361023732212 0.07689361023732212],[0.02377453318679212 0.02377453318679212 0.02377453318679212],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1110_to_1169_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02468366009996173 0.02468366009996173 0.02468366009996173],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1110_to_1169_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02458538899545385 0.02458538899545385 0.02458538899545385],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1110_to_1169_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02506148033232807 0.02506148033232807 0.02506148033232807],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1111_to_1170_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.07144392352226973 0.07144392352226973 0.07144392352226973],[0.02397685231453296 0.02397685231453296 0.02397685231453296],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1111_to_1171_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.06973802641084496 0.06973802641084496 0.06973802641084496],[0.02263864004098362 0.02263864004098362 0.02263864004098362],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1112_to_1538_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.0589562726229037 0.0589562726229037 0.0589562726229037],[0.01019340936517544 0.01019340936517544 0.01019340936517544],[40010.37365484107000 40010.37365484107000 40010.37365484107000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,38105.1177665153,33333333.33333333,50
xf_1112_to_1538_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.06669496260050814 0.06669496260050814 0.06669496260050814],[0.009882074777894675 0.009882074777894675 0.009882074777894675],[40010.37365484107000 40010.37365484107000 40010.37365484107000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,38105.1177665153,33333333.33333333,50
xf_1113_to_1172_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0.03627368598098612 0.03627368598098612 0.03627368598098612],[0.0254929716022225 0.0254929716022225 0.0254929716022225],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1113_to_1172_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02603113570305153 0.02603113570305153 0.02603113570305153],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1114_to_1029_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.009755570219445224 0.009755570219445224 0.009755570219445224],[0.0008821336289863169 0.0008821336289863169 0.0008821336289863169],[9237.604307034013000 9237.604307034013000 9237.604307034013000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,9237.604307034013,33333333.33333333,50
xf_1114_to_1030_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.009753423894190798 0.009753423894190798 0.009753423894190798],[0.0009017177768994536 0.0009017177768994536 0.0009017177768994536],[9237.604307034013000 9237.604307034013000 9237.604307034013000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,9237.604307034013,33333333.33333333,50
xf_1115_to_1034_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[202072.594216369000 202072.594216369000 202072.594216369000],Yg,[0.002458928795933148 0.002458928795933148 0.002458928795933148],[0.0004282004389720514 0.0004282004389720514 0.0004282004389720514],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,12701.70592217177,33333333.33333333,50
xf_1115_to_1036_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[202072.594216369000 202072.594216369000 202072.594216369000],Yg,[0.002441469618860372 0.002441469618860372 0.002441469618860372],[0.000465728660665032 0.000465728660665032 0.000465728660665032],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,12701.70592217177,33333333.33333333,50
xf_1115_to_1037_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[202072.594216369000 202072.594216369000 202072.594216369000],Yg,[0.002228275331058262 0.002228275331058262 0.002228275331058262],[0.000473203596228142 0.000473203596228142 0.000473203596228142],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,12701.70592217177,33333333.33333333,50
xf_1115_to_1544_5,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[191097.1655990742000 191097.1655990742000 191097.1655990742000],Yg,[0.06322466439010581 0.06322466439010581 0.06322466439010581],[0.006127607917288082 0.006127607917288082 0.006127607917288082],[20784.60969082652000 20784.60969082652000 20784.60969082652000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,19052.55888325765,33333333.33333333,50
xf_1115_to_1546_6,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[191668.742365572000 191668.742365572000 191668.742365572000],Yg,[0.06344184356562156 0.06344184356562156 0.06344184356562156],[0.006153612434080477 0.006153612434080477 0.006153612434080477],[19745.3792062852000 19745.3792062852000 19745.3792062852000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,19052.55888325765,33333333.33333333,50
xf_1116_to_1628_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.2269878590268277 0.2269878590268277 0.2269878590268277],[0.02544375136795493 0.02544375136795493 0.02544375136795493],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1116_to_1628_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[209578.1477158342000 209578.1477158342000 209578.1477158342000],Yg,[0.2241194815158316 0.2241194815158316 0.2241194815158316],[0.02496141829933353 0.02496141829933353 0.02496141829933353],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1117_to_1174_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02506647668723663 0.02506647668723663 0.02506647668723663],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1117_to_1175_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02370572033075031 0.02370572033075031 0.02370572033075031],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1117_to_1176_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0.09186909907862223 0.09186909907862223 0.09186909907862223],[0.02390519544001293 0.02390519544001293 0.02390519544001293],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1119_to_1177_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[188620.3329442507000 188620.3329442507000 188620.3329442507000],Yg,[0.293270301611652 0.293270301611652 0.293270301611652],[0.03580427867684747 0.03580427867684747 0.03580427867684747],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1120_to_1178_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[200051.8682742054000 200051.8682742054000 200051.8682742054000],Yg,[0.07269110947831578 0.07269110947831578 0.07269110947831578],[0.02423724119279567 0.02423724119279567 0.02423724119279567],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1120_to_1548_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[203862.3800508569000 203862.3800508569000 203862.3800508569000],Yg,[0.08542242183321326 0.08542242183321326 0.08542242183321326],[0.01041251362080545 0.01041251362080545 0.01041251362080545],[40010.37365484107000 40010.37365484107000 40010.37365484107000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,38105.1177665153,33333333.33333333,50
xf_1123_to_1044_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[192603.47245139000 192603.47245139000 192603.47245139000],Yg,[0.001611433868361565 0.001611433868361565 0.001611433868361565],[0.0003346406860080137 0.0003346406860080137 0.0003346406860080137],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1123_to_1045_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[192603.47245139000 192603.47245139000 192603.47245139000],Yg,[0.001725235574786628 0.001725235574786628 0.001725235574786628],[0.0003000125672398381 0.0003000125672398381 0.0003000125672398381],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1123_to_1179_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0 0 0],[0.02369950477536227 0.02369950477536227 0.02369950477536227],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1124_to_1047_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[197233.0595079355000 197233.0595079355000 197233.0595079355000],Yg,[0.002673524238774551 0.002673524238774551 0.002673524238774551],[0.0003638863717152293 0.0003638863717152293 0.0003638863717152293],[10103.62971081845000 10103.62971081845000 10103.62971081845000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,10103.62971081845,33333333.33333333,50
xf_1124_to_1049_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.00338279912568396 0.00338279912568396 0.00338279912568396],[0.0004380601075865285 0.0004380601075865285 0.0004380601075865285],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,33333333.33333333,50
